university_name,programme_name,degree_level,minimum_cgpa,minimum_cgpa_scale,minimum_degree,required_field,english_requirement,ielts_required,ielts_minimum_score,toefl_required,toefl_minimum_score,gre_required,work_experience_required,other_requirements,source_url
Universität Heidelberg,MSc Molecular Biotechnology,Master,,,Bachelor's degree in biology or related field,Molecular Biology,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,Bachelor's degree of at least six semesters; aptitude assessment,
Humboldt-Universität zu Berlin,MSc Computer Science,Master,,,Bachelor's degree in Computer Science or related,Computer Science,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
Universität Bonn,MSc Astrophysics,Master,,,Bachelor's degree in physics or astronomy,Physics or Astronomy,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
University of Copenhagen,MSc Computer Science,Master,,,Bachelor's degree in Computer Science,Computer Science,IELTS 6.5 or TOEFL 83,true,6.5,true,83,false,,
Aarhus University,MSc Data Science,Master,,,Bachelor's degree in a related field,Data Science or related,IELTS 6.5 or TOEFL 83,true,6.5,true,83,false,,
University of Oslo,MSc Materials Science for Energy and Nanotechnology,Master,,,Bachelor's degree in materials science or related,Materials Science,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
Norwegian University of Science and Technology,MSc Mechanical Engineering,Master,,,Bachelor's degree in mechanical engineering,Mechanical Engineering,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
Lund University,MSc Engineering Mathematics,Master,,,Bachelor's degree in engineering or mathematics,Mathematics or Engineering,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
Uppsala University,MSc Chemistry,Master,,,Bachelor's degree in chemistry,Chemistry,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
University of Helsinki,MSc Computer Science,Master,,,Bachelor's degree in Computer Science,Computer Science,IELTS 6.5 or TOEFL 92,true,6.5,true,92,false,,
University of Amsterdam,MSc Artificial Intelligence,Master,,,Bachelor's degree in AI or Computer Science,AI or Computer Science,IELTS 7.0 or TOEFL 100,true,7.0,true,100,false,,
Delft University of Technology,MSc Materials Science and Engineering,Master,,,Bachelor's degree in materials science or related,Materials Science,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
ETH Zurich,MSc Mechanical Engineering,Master,,,Bachelor's degree in mechanical engineering,Mechanical Engineering,IELTS 7.0 or TOEFL 100,true,7.0,true,100,false,,
EPFL,MSc Computer Science,Master,,,Bachelor's degree in Computer Science,Computer Science,IELTS 7.0 or TOEFL 100,true,7.0,true,100,false,,
Trinity College Dublin,MSc Business Analytics,Master,,,Bachelor's degree (2:1 minimum),Any discipline,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
University College Dublin,MSc Data and Computational Science,Master,,,Bachelor's degree in a quantitative field,Science or Engineering,IELTS 6.5 or TOEFL 90,true,6.5,true,90,false,,
